product_id,name,category,unit_price
1000,Bourbon Biscuit,Grocery,220.85
1001,Sunlight Soap,Bakery,372.27
1002,Dettol Soap,Personal Care,346.45
1003,Dettol Soap,Personal Care,346.64
1004,Colgate,Dairy,169.2
1005,Tata Salt,Grocery,
1006,Dettol Soap,Grocery,339.44
1007,Dettol Soap,Personal Care,36.63
1008,Fortune Oil,Dairy,319.93
1009,Fortune Oil,Personal Care,230.36
1010,Bourbon Biscuit,Grocery,344.63
1011,Colgate,Personal Care,101.21
1012,Amul Milk,Household,
1013,Sunlight Soap,Grocery,303.45
1014,Aashirvaad Atta,Grocery,387.0
1015,Amul Milk,Personal Care,371.19
1016,Aashirvaad Atta,Grocery,67.4
1017,Good Day Biscuit,Grocery,275.52
1018,Bourbon Biscuit,Dairy,380.25
1019,Aashirvaad Atta,Bakery,48.11
1020,Amul Milk,Household,275.61
1021,Colgate,Personal Care,175.78
1022,Bourbon Biscuit,Household,247.99
1023,Colgate,Personal Care,85.16
1024,Colgate,Bakery,29.12
1025,Tata Salt,Personal Care,309.47
1026,Bourbon Biscuit,Household,381.46
1027,Tata Salt,Grocery,323.22
1028,Bourbon Biscuit,Grocery,11.66
1029,Fortune Oil,Bakery,
1030,Sunlight Soap,Grocery,373.24
1031,Sunlight Soap,Dairy,280.24
1032,Colgate,Personal Care,396.36
1033,Sunlight Soap,Personal Care,20.16
1034,Amul Milk,Personal Care,243.03
1035,Bourbon Biscuit,Household,126.87
1036,Colgate,Dairy,276.43
1037,Aashirvaad Atta,Personal Care,15.79
1038,Sunlight Soap,Household,343.63
1039,Amul Milk,Dairy,81.33
1040,Aashirvaad Atta,Dairy,43.34
1041,Fortune Oil,Grocery,277.93
1042,Sunlight Soap,Household,61.51
1043,Dettol Soap,Grocery,194.13
1044,Fortune Oil,Dairy,30.09
1045,Amul Milk,Household,73.11
1046,Dettol Soap,Personal Care,189.54
1047,Tata Salt,Household,234.41
1048,Amul Milk,Dairy,339.85
1049,Sunlight Soap,Household,200.27
1050,Good Day Biscuit,Household,
1051,Good Day Biscuit,Personal Care,51.97
1052,Amul Milk,Personal Care,130.44
1053,Good Day Biscuit,Dairy,235.39
1054,Aashirvaad Atta,Personal Care,199.17
1055,Aashirvaad Atta,Personal Care,52.85
1056,Bourbon Biscuit,Grocery,395.38
1057,Fortune Oil,Personal Care,214.75
1058,Aashirvaad Atta,Dairy,59.43
1059,Fortune Oil,Household,345.51
1060,Good Day Biscuit,Dairy,383.57
1061,Colgate,Bakery,324.85
1062,Amul Milk, ,391.51
1063,Fortune Oil,Grocery,336.93
1064,Colgate,Dairy,
1065,Tata Salt,Household,297.67
1066,Bourbon Biscuit,Personal Care,228.93
1067,Fortune Oil,Household,351.91
1068,Dettol Soap,Personal Care,266.84
1069,Colgate,Bakery,105.86
1070,Amul Milk,Dairy,385.25
1071,Fortune Oil,Personal Care,277.88
1072,Fortune Oil,Bakery,36.87
1073,Fortune Oil,Bakery,318.76
1074,Fortune Oil,Bakery,36.84
1075,Tata Salt,Bakery,226.27
1076,Sunlight Soap,Household,
1077,Dettol Soap,Grocery,375.95
1078,Fortune Oil,Personal Care,
1079,Fortune Oil,Bakery,334.73
1080,Sunlight Soap,Personal Care,238.71
1081,Dettol Soap,Dairy,309.35
1082,Tata Salt,Dairy,320.67
1083,Aashirvaad Atta,Household,85.49
1084,Bourbon Biscuit,Personal Care,328.31
1085,Sunlight Soap, ,36.43
1086,Bourbon Biscuit,Grocery,180.16
1087,Colgate,Dairy,108.3
1088,Amul Milk,Bakery,198.38
1089,Dettol Soap,Dairy,326.09
1090,Fortune Oil, ,266.53
1091,,Personal Care,82.4
1092,Dettol Soap,Bakery,198.64
1093,Dettol Soap,Household,39.53
1094,Colgate,Household,292.66
1095,Amul Milk,Bakery,365.99
1096,Amul Milk,Dairy,250.96
1097,Good Day Biscuit,Bakery,277.51
1098,Fortune Oil,Personal Care,191.47
1099,Aashirvaad Atta,Household,372.03
1100,Colgate,Grocery,376.17
1101,Aashirvaad Atta,Dairy,312.69
1102,Bourbon Biscuit,Personal Care,36.13
1103,Amul Milk, ,189.45
1104,Dettol Soap,Grocery,330.28
1105,,Bakery,
1106,Good Day Biscuit,Dairy,335.29
1107,Fortune Oil,Household,
1108,Sunlight Soap,Personal Care,156.42
1109,Sunlight Soap,Personal Care,75.05
1110,Dettol Soap,Dairy,
1111,Fortune Oil,Dairy,49.71
1112,Dettol Soap,Bakery,157.21
1113,Sunlight Soap,Household,266.72
1114,,Dairy,119.51
1115,Good Day Biscuit,Household,156.52
1116,,Bakery,208.39
1117,Colgate,Grocery,179.83
1118,Amul Milk,Dairy,36.82
1119,Sunlight Soap,Bakery,126.82
1120,Aashirvaad Atta,Household,187.01
1121,Tata Salt,Bakery,386.76
1122,Dettol Soap,Personal Care,118.21
