order_id,customer_id,store_id,order_date,payment_method
5000,-1,16,2024-10-12,upi
5002,-1,24,2024-06-12,upi
5011,-1,35,2024-01-29,cash
5013,1000,32,2024-08-09,upi
5017,730,14,2024-09-22,cash
5018,-1,37,2024-03-22,unknown
5019,-1,19,2024-10-16,unknown
5021,608,31,2024-11-28,upi
5024,807,13,2024-02-15,upi
5025,-1,33,2024-06-07,unknown
5031,-1,28,2024-02-13,unknown
5032,-1,28,2024-08-04,unknown
5033,1975,25,2024-09-01,card
5034,-1,32,2024-02-19,unknown
5035,303,31,2024-08-20,upi
5039,-1,38,2024-11-01,cash
5044,-1,20,2024-04-04,card
5054,-1,36,2024-03-21,card
5055,-1,39,2024-06-27,cash
5056,-1,17,2024-09-22,card
5058,893,30,2024-03-27,cash
5063,-1,18,2024-04-07,upi
5069,788,26,2024-10-23,upi
5073,-1,37,2024-09-29,upi
5081,-1,30,2024-05-04,unknown
5082,806,25,2024-02-22,upi
5084,-1,38,2024-07-31,card
5087,447,12,2024-10-13,unknown
5088,-1,15,2024-12-21,unknown
5090,-1,24,2024-11-22,upi
5092,-1,13,2024-09-21,unknown
5093,1874,15,2024-07-31,card
5097,-1,23,2024-06-26,cash
5098,-1,19,2024-05-19,unknown
5101,-1,11,2024-12-21,cash
5102,98,34,2024-06-18,card
5103,-1,30,2024-07-26,card
5107,1104,28,2024-01-31,cash
5108,-1,16,2024-06-29,upi
5110,-1,20,2024-01-28,upi
5111,-1,25,2024-10-17,unknown
5115,-1,26,2024-04-09,cash
5118,-1,11,2024-02-07,cash
5121,896,32,2024-06-19,upi
5122,-1,38,2024-07-17,card
5127,-1,20,2024-09-09,upi
5131,-1,15,2024-01-11,upi
5136,-1,39,2024-08-30,card
5137,-1,39,2024-05-28,cash
5140,-1,22,2024-03-09,card
5141,-1,38,2024-11-07,card
5143,291,20,2024-08-17,unknown
5147,353,23,2024-03-18,unknown
5152,1124,12,2024-10-14,unknown
5154,396,21,2024-04-12,card
5155,-1,28,2024-03-05,cash
5167,-1,31,2024-07-25,card
5172,-1,10,2024-05-16,card
5185,-1,10,2024-01-19,cash
5187,1368,11,2024-04-23,unknown
5189,215,20,2024-11-11,upi
5196,-1,31,2024-09-13,card
5199,465,32,2024-02-02,cash
5200,-1,20,2024-08-09,upi
5202,1813,26,2024-02-19,card
5206,1341,39,2024-11-07,card
5208,-1,37,2024-06-18,card
5216,-1,35,2024-08-18,unknown
5218,-1,11,2024-05-04,unknown
5220,-1,21,2024-04-13,upi
5226,697,27,2024-10-25,card
5228,1446,21,2024-02-17,upi
5234,-1,21,2024-05-18,upi
5237,-1,26,2024-12-27,cash
5243,-1,14,2024-02-15,cash
5246,1844,24,2024-04-27,upi
5251,-1,31,2024-11-30,upi
5252,1944,13,2024-07-25,card
5258,-1,15,2024-10-29,card
5261,206,36,2024-01-03,unknown
5263,-1,15,2024-01-21,unknown
5265,849,33,2024-01-12,upi
5269,-1,31,2024-09-12,card
5271,-1,27,2024-03-31,cash
5272,-1,31,2024-12-17,cash
5273,-1,25,2024-08-21,unknown
5275,457,35,2024-11-21,card
5277,-1,31,2024-04-25,cash
5278,-1,26,2024-01-26,cash
5281,-1,29,2024-03-28,upi
5287,95,22,2024-08-25,unknown
5293,976,34,2024-07-28,unknown
5300,-1,20,2024-07-17,card
5303,-1,35,2024-05-02,card
5308,-1,27,2024-10-06,card
5311,1003,38,2024-12-08,upi
5313,-1,18,2024-11-05,upi
5314,-1,18,2024-06-20,cash
5316,694,36,2024-08-05,cash
5320,1007,33,2024-10-10,cash
5322,1445,13,2024-03-03,cash
5326,1209,11,2024-05-04,card
5327,1049,22,2024-10-10,unknown
5330,-1,27,2024-07-16,unknown
5331,-1,18,2024-10-17,cash
5333,-1,29,2024-09-17,upi
5334,-1,19,2024-12-04,unknown
5336,-1,12,2024-02-10,card
5342,-1,23,2024-10-28,cash
5343,-1,16,2024-11-01,upi
5344,-1,29,2024-12-24,card
5350,-1,25,2024-04-12,card
5354,123,29,2024-06-24,cash
5356,-1,35,2024-04-28,card
5357,1222,34,2024-02-27,card
5365,1693,36,2024-06-16,cash
5366,252,39,2024-05-14,cash
5372,-1,39,2024-02-25,upi
5377,-1,33,2024-01-07,card
5378,58,22,2024-09-04,card
5381,-1,29,2024-02-14,cash
5383,224,32,2024-03-16,cash
5385,104,21,2024-10-13,upi
5386,-1,24,2024-01-22,unknown
5387,-1,27,2024-10-28,unknown
5388,-1,21,2024-05-27,unknown
5393,385,21,2024-02-24,upi
5394,-1,23,2024-11-08,cash
5397,1963,27,2024-07-25,upi
5398,-1,18,2024-09-13,upi
5401,-1,32,2024-05-24,card
5409,-1,37,2024-08-02,cash
5410,-1,37,2024-03-10,unknown
5411,-1,38,2024-11-28,unknown
5413,-1,30,2024-02-11,card
5414,507,17,2024-10-30,cash
5417,1190,33,2024-09-19,card
5420,145,28,2024-09-29,cash
5421,-1,29,2024-01-28,card
5422,772,16,2024-11-25,cash
5424,-1,27,2024-08-29,upi
5431,1841,10,2024-12-05,upi
5433,-1,37,2024-07-09,unknown
5436,1626,16,2024-02-10,unknown
5437,1144,18,2024-08-23,cash
5444,321,15,2024-02-27,cash
5449,-1,16,2024-01-10,card
5454,-1,22,2024-10-29,unknown
5455,-1,30,2024-10-30,cash
5457,-1,31,2024-09-30,unknown
5460,-1,39,2024-06-05,cash
5467,-1,33,2024-04-24,upi
5468,-1,37,2024-06-21,card
5469,-1,12,2024-01-15,upi
5485,1603,22,2024-11-10,cash
5489,-1,30,2024-08-19,cash
5491,-1,22,2024-01-27,unknown
5494,-1,13,2024-02-10,upi
5499,-1,26,2024-04-18,upi
5501,1985,18,2024-02-03,cash
5502,-1,10,2024-10-15,upi
5504,-1,12,2024-04-22,unknown
5508,1648,10,2024-07-13,upi
5510,1129,31,2024-07-11,card
5513,724,13,2024-01-14,unknown
5517,-1,36,2024-09-13,card
5520,669,11,2024-03-12,unknown
5522,1890,22,2024-12-26,unknown
5528,1800,16,2024-08-24,unknown
5533,-1,24,2024-06-28,card
5537,-1,25,2024-05-06,card
5538,1797,17,2024-03-14,cash
5539,1572,11,2024-10-04,card
5540,-1,35,2024-01-11,unknown
5541,-1,32,2024-06-04,upi
5544,-1,38,2024-01-08,upi
5548,-1,31,2024-10-07,upi
5550,1580,11,2024-03-21,card
5552,892,31,2024-09-08,card
5555,-1,10,2024-09-23,upi
5559,53,25,2024-03-07,card
5566,-1,35,2024-09-19,card
5567,-1,36,2024-10-03,upi
5568,-1,20,2024-12-07,cash
5572,-1,34,2024-11-13,card
5574,-1,29,2024-04-19,cash
5575,736,21,2024-11-28,upi
5578,117,33,2024-12-04,card
5580,-1,23,2024-08-22,card
5581,-1,37,2024-07-14,cash
5584,1024,33,2024-01-17,upi
5585,637,38,2024-03-07,card
5588,-1,17,2024-04-15,unknown
5594,-1,14,2024-04-28,card
5596,913,15,2024-05-07,cash
5598,-1,19,2024-03-14,cash
5599,1407,39,2024-03-06,upi
5602,-1,14,2024-07-30,card
5604,-1,38,2024-06-01,unknown
5605,-1,37,2024-05-31,card
5606,1813,29,2024-06-14,card
5612,-1,20,2024-02-19,upi
5614,-1,22,2024-04-17,upi
5615,1859,33,2024-09-05,unknown
5618,-1,38,2024-12-02,cash
5621,-1,22,2024-03-06,cash
5624,910,25,2024-05-25,card
5626,-1,18,2024-07-04,unknown
5627,1065,25,2024-09-24,card
5636,1130,17,2024-10-21,upi
5643,-1,11,2024-05-04,unknown
5646,-1,19,2024-12-28,card
5652,-1,39,2024-01-27,upi
5654,1957,28,2024-12-06,upi
5658,-1,32,2024-02-12,cash
5661,1985,20,2024-06-02,card
5667,1497,22,2024-06-28,cash
5668,-1,30,2024-12-31,cash
5671,443,37,2024-07-07,card
5682,-1,24,2024-09-18,card
5687,-1,20,2024-11-25,unknown
5690,1406,17,2024-08-27,cash
5691,1823,12,2024-11-08,upi
5692,-1,14,2024-09-13,cash
5698,-1,15,2024-07-24,card
5699,-1,29,2024-06-06,cash
5701,-1,20,2024-10-22,card
5704,-1,35,2024-11-18,unknown
5707,486,10,2024-01-31,cash
5716,-1,18,2024-06-06,upi
5717,1084,29,2024-11-28,upi
5720,903,32,2024-04-12,cash
5721,1200,19,2024-01-14,cash
5723,-1,20,2024-10-14,unknown
5727,1455,17,2024-10-26,cash
5730,-1,12,2024-06-14,cash
5732,-1,30,2024-01-24,upi
5733,-1,32,2024-02-26,unknown
5734,-1,30,2024-03-18,cash
5737,-1,39,2024-03-04,unknown
5738,-1,24,2024-12-03,upi
5741,-1,33,2024-03-02,upi
5751,1153,39,2024-11-20,card
5756,-1,30,2024-11-29,cash
5760,-1,23,2024-12-24,unknown
5763,-1,20,2024-12-12,unknown
5764,81,14,2024-08-25,card
5769,-1,12,2024-01-19,card
5771,-1,27,2024-07-11,card
5773,1514,27,2024-01-22,cash
5775,922,19,2024-07-29,card
5776,-1,12,2024-11-05,upi
5782,1682,18,2024-05-21,upi
5788,-1,14,2024-07-29,upi
5791,-1,10,2024-11-29,cash
5792,-1,33,2024-03-18,unknown
5794,-1,29,2024-01-28,card
5795,251,31,2024-03-21,cash
5810,-1,10,2024-05-29,card
5811,-1,23,2024-09-05,card
5812,1296,24,2024-03-31,card
5818,-1,34,2024-08-06,cash
5819,1704,10,2024-03-31,unknown
5821,-1,39,2024-08-19,upi
5824,-1,17,2024-11-17,unknown
5825,-1,25,2024-02-17,upi
5826,-1,35,2024-07-22,upi
5827,1392,11,2024-08-21,card
5829,-1,23,2024-11-28,upi
5840,-1,19,2024-03-04,upi
5842,-1,37,2024-12-03,unknown
5844,1425,29,2024-05-31,upi
5848,-1,18,2024-11-16,card
5850,-1,15,2024-05-10,card
5851,-1,11,2024-02-28,upi
5857,-1,39,2024-12-06,cash
5861,1272,26,2024-04-03,upi
5866,219,28,2024-06-19,cash
5871,96,13,2024-04-13,upi
5874,-1,25,2024-03-25,unknown
5877,658,26,2024-08-28,upi
5881,505,15,2024-09-09,upi
5882,-1,24,2024-06-22,cash
5883,-1,32,2024-06-25,card
5885,-1,37,2024-06-01,cash
5887,1730,16,2024-01-09,upi
5888,-1,13,2024-12-17,upi
5890,-1,20,2024-01-27,upi
5896,937,37,2024-03-03,cash
5901,-1,39,2024-04-06,cash
5902,392,10,2024-09-11,unknown
5903,-1,17,2024-04-06,card
5904,1566,20,2024-09-18,unknown
5919,-1,31,2024-01-29,upi
5923,-1,27,2024-09-30,upi
5928,19,30,2024-06-15,card
5932,432,38,2024-07-16,upi
5933,-1,26,2024-10-25,upi
5940,539,10,2024-02-21,cash
5944,-1,24,2024-12-03,upi
5948,-1,11,2024-02-06,cash
5949,-1,15,2024-09-20,upi
5952,-1,21,2024-09-08,card
5954,-1,33,2024-07-31,cash
5958,1237,34,2024-04-24,card
5964,1847,30,2024-07-10,unknown
5966,672,37,2024-05-01,cash
5968,1183,22,2024-05-14,unknown
5971,573,32,2024-08-25,upi
5973,1183,37,2024-02-03,card
5974,306,18,2024-01-31,upi
5975,-1,20,2024-05-10,unknown
5977,-1,30,2024-04-28,unknown
5987,-1,32,2024-02-07,upi
5988,-1,27,2024-10-14,card
5994,-1,33,2024-01-06,unknown
5998,1805,35,2024-04-05,cash
6004,466,24,2024-06-28,cash
6008,-1,18,2024-11-03,upi
6011,1721,16,2024-10-28,card
6014,-1,19,2024-05-11,upi
6015,-1,22,2024-08-13,upi
6017,-1,14,2024-05-02,card
6018,-1,31,2024-01-29,upi
6019,1583,28,2024-11-06,upi
6020,-1,21,2024-12-24,unknown
6022,-1,32,2024-08-17,card
6026,-1,19,2024-06-23,upi
6029,-1,12,2024-10-24,cash
6030,1505,34,2024-08-14,cash
6031,-1,21,2024-03-15,cash
6038,-1,14,2024-06-22,card
6040,-1,25,2024-09-07,upi
6046,-1,20,2024-09-13,card
6048,-1,18,2024-06-22,upi
6052,1188,27,2024-01-05,card
6055,-1,33,2024-09-04,unknown
6056,-1,30,2024-12-10,cash
6060,-1,26,2024-10-03,upi
6065,-1,19,2024-09-20,cash
6066,-1,15,2024-02-21,cash
6068,-1,24,2024-07-24,unknown
6072,-1,21,2024-09-05,card
6074,-1,22,2024-01-30,card
6078,1305,25,2024-11-11,unknown
6082,-1,20,2024-07-04,unknown
6085,-1,33,2024-05-21,cash
6089,-1,29,2024-02-27,upi
6090,-1,38,2024-07-04,unknown
6094,-1,32,2024-09-20,card
6098,-1,25,2024-06-08,unknown
6099,-1,24,2024-03-13,unknown
6101,-1,23,2024-03-18,card
6103,-1,35,2024-06-03,cash
6105,367,34,2024-12-19,card
6109,1134,33,2024-09-22,cash
6110,-1,19,2024-05-19,upi
6112,-1,17,2024-03-11,card
6117,-1,25,2024-06-02,unknown
6120,-1,26,2024-07-17,unknown
6127,1279,12,2024-11-05,upi
6128,-1,21,2024-05-07,card
6129,798,23,2024-06-28,upi
6130,-1,24,2024-09-12,card
6132,-1,14,2024-07-22,cash
6134,-1,29,2024-01-09,card
6136,-1,21,2024-03-08,unknown
6138,-1,36,2024-03-14,card
6139,1484,27,2024-04-05,upi
6146,360,21,2024-02-05,cash
6149,-1,25,2024-04-11,card
6153,-1,39,2024-12-04,upi
6154,-1,23,2024-08-31,card
6155,252,17,2024-04-03,card
6156,738,37,2024-09-08,unknown
6170,1649,29,2024-01-28,card
6173,-1,20,2024-06-02,unknown
6177,273,30,2024-10-23,upi
6179,209,31,2024-03-16,upi
6182,-1,31,2024-04-01,card
6184,-1,39,2024-10-16,cash
6188,953,31,2024-01-20,cash
6189,-1,35,2024-07-13,card
6194,-1,24,2024-02-07,card
6195,1079,25,2024-01-25,cash
6198,-1,18,2024-07-03,unknown
6199,116,25,2024-07-01,cash
6201,-1,35,2024-08-17,card
6203,-1,12,2024-08-19,unknown
6204,742,27,2024-03-12,card
6205,-1,20,2024-03-23,upi
6206,-1,16,2024-06-30,cash
6226,-1,19,2024-05-05,cash
6227,-1,26,2024-02-10,upi
6228,-1,26,2024-01-23,card
6230,362,38,2024-10-09,cash
6231,-1,24,2024-10-19,unknown
6233,847,38,2024-08-26,card
6236,1161,17,2024-09-13,upi
6239,-1,39,2024-05-21,upi
6240,-1,32,2024-01-03,unknown
6244,-1,19,2024-02-18,unknown
6245,131,19,2024-09-10,card
6246,967,18,2024-07-14,card
6247,-1,15,2024-09-29,card
6250,-1,39,2024-05-30,card
6257,-1,18,2024-02-25,card
6259,-1,13,2024-04-24,unknown
6262,-1,30,2024-06-10,unknown
6263,821,11,2024-02-08,card
6265,-1,35,2024-07-21,card
6266,-1,17,2024-08-31,upi
6267,439,28,2024-01-06,cash
6270,-1,34,2024-07-06,cash
6271,-1,19,2024-09-09,cash
6274,-1,35,2024-05-22,cash
6280,-1,20,2024-12-20,cash
6283,-1,35,2024-09-25,unknown
6287,682,36,2024-11-04,cash
6288,-1,37,2024-03-02,unknown
6292,-1,21,2024-10-20,card
6295,482,24,2024-08-19,unknown
6297,-1,30,2024-08-09,upi
6299,-1,21,2024-06-06,unknown
6306,-1,14,2024-03-11,cash
6318,-1,11,2024-11-26,unknown
6320,359,18,2024-06-19,card
6325,-1,33,2024-09-18,card
6328,-1,21,2024-06-28,card
6333,1791,34,2024-08-14,card
6334,1447,11,2024-07-31,cash
6339,-1,30,2024-12-28,unknown
6340,465,12,2024-09-12,card
6341,-1,16,2024-05-19,unknown
6342,-1,25,2024-12-24,unknown
6343,-1,20,2024-06-28,unknown
6346,-1,38,2024-05-01,cash
6349,-1,20,2024-06-09,upi
6352,-1,17,2024-06-04,cash
6356,1283,13,2024-10-30,unknown
6357,-1,24,2024-08-02,cash
6358,-1,24,2024-07-17,unknown
6362,1313,10,2024-07-09,upi
6365,-1,36,2024-02-22,upi
6369,685,19,2024-11-25,unknown
6374,-1,24,2024-02-26,upi
6379,-1,35,2024-08-29,cash
6380,-1,27,2024-04-18,unknown
6382,-1,25,2024-08-06,card
6386,-1,34,2024-02-13,cash
6389,-1,39,2024-07-02,unknown
6392,-1,11,2024-04-21,upi
6394,-1,33,2024-07-14,unknown
6397,1908,31,2024-10-28,upi
6400,1618,16,2024-04-19,unknown
6402,-1,11,2024-08-28,upi
6404,969,19,2024-01-18,upi
6407,-1,25,2024-06-08,card
6408,-1,30,2024-06-01,unknown
6415,-1,18,2024-04-24,cash
6417,-1,36,2024-02-14,upi
6424,-1,17,2024-10-01,cash
6426,516,21,2024-07-30,upi
6428,-1,32,2024-08-08,upi
6436,1546,35,2024-11-07,upi
6437,801,22,2024-02-05,card
6438,-1,11,2024-06-24,unknown
6442,-1,18,2024-11-02,unknown
6445,-1,35,2024-08-07,cash
6447,-1,17,2024-07-13,unknown
6449,1458,32,2024-10-28,upi
6451,965,30,2024-02-13,upi
6453,850,27,2024-08-04,upi
6456,1957,24,2024-01-07,upi
6457,-1,30,2024-01-19,card
6459,-1,29,2024-12-25,unknown
6462,-1,18,2024-03-27,upi
6466,-1,11,2024-12-10,card
6474,995,36,2024-06-05,card
6475,-1,32,2024-01-10,upi
6476,257,32,2024-01-13,unknown
6477,361,10,2024-01-01,unknown
6478,1110,24,2024-06-01,card
6483,-1,13,2024-02-02,unknown
6486,1672,11,2024-05-17,cash
6487,-1,27,2024-02-23,upi
6488,1011,22,2024-02-05,unknown
6493,-1,32,2024-06-06,upi
6499,-1,24,2024-07-16,upi
6500,-1,36,2024-04-14,cash
6505,1533,31,2024-12-31,upi
6510,-1,34,2024-10-09,card
6517,-1,24,2024-01-07,card
6518,-1,14,2024-09-23,upi
6526,-1,32,2024-04-17,cash
6527,-1,13,2024-02-09,card
6528,-1,17,2024-03-08,card
6534,1807,24,2024-10-13,upi
6535,820,29,2024-11-17,upi
6538,848,26,2024-09-22,card
6540,-1,26,2024-05-12,cash
6543,-1,35,2024-07-27,unknown
6544,-1,29,2024-11-11,unknown
6546,697,21,2024-08-06,card
6557,1414,37,2024-08-19,unknown
6562,-1,29,2024-09-29,unknown
6573,261,21,2024-01-03,cash
6576,-1,18,2024-06-11,unknown
6577,147,34,2024-06-25,unknown
6583,-1,15,2024-06-22,upi
6587,-1,28,2024-10-03,card
6591,-1,15,2024-03-26,card
6594,-1,37,2024-07-08,cash
6597,1685,37,2024-03-21,card
6601,1771,33,2024-09-15,card
6602,-1,19,2024-10-01,unknown
6610,-1,14,2024-02-21,cash
6614,-1,20,2024-08-11,upi
6616,243,36,2024-06-09,upi
6619,-1,28,2024-03-31,card
6620,-1,32,2024-04-29,cash
6627,-1,37,2024-05-25,cash
6629,-1,25,2024-01-13,cash
6630,-1,19,2024-04-11,unknown
6632,661,34,2024-11-22,unknown
6636,1723,19,2024-06-26,cash
6641,1763,10,2024-11-15,unknown
6644,722,23,2024-07-30,cash
6646,-1,39,2024-06-11,cash
6647,-1,20,2024-06-17,unknown
6650,407,37,2024-07-08,card
6651,-1,38,2024-02-15,cash
6653,1020,26,2024-05-22,unknown
6659,-1,17,2024-12-09,cash
6660,-1,17,2024-12-07,cash
6662,-1,11,2024-03-18,upi
6664,-1,38,2024-01-08,cash
6665,1999,38,2024-06-16,unknown
6666,-1,28,2024-06-09,upi
6667,-1,18,2024-09-02,cash
6668,167,15,2024-11-23,cash
6669,-1,36,2024-02-20,card
6673,1863,16,2024-05-03,upi
6675,1244,19,2024-05-17,cash
6677,458,10,2024-08-05,cash
6679,-1,37,2024-09-07,upi
6685,-1,20,2024-12-10,cash
6687,-1,31,2024-02-19,cash
6688,185,19,2024-10-13,unknown
6690,-1,18,2024-10-31,cash
6691,1963,34,2024-04-19,cash
6692,-1,26,2024-02-16,unknown
6701,-1,33,2024-10-23,cash
6704,1059,16,2024-05-12,card
6706,1796,12,2024-08-20,cash
6710,-1,11,2024-01-23,card
6714,-1,38,2024-03-25,cash
6718,-1,11,2024-05-02,unknown
6728,1827,29,2024-06-27,card
6730,-1,34,2024-08-09,card
6737,-1,17,2024-06-13,upi
6739,-1,30,2024-11-29,upi
6742,1235,31,2024-02-11,cash
6745,-1,10,2024-12-21,unknown
6748,-1,37,2024-08-10,card
6756,-1,23,2024-07-08,cash
6758,-1,36,2024-02-05,upi
6759,-1,30,2024-08-10,card
6769,1625,39,2024-06-04,card
6773,1561,38,2024-07-09,cash
6774,-1,34,2024-03-31,upi
6775,-1,17,2024-12-28,upi
6777,-1,19,2024-01-25,upi
6779,37,35,2024-04-06,card
6780,-1,30,2024-11-24,unknown
6781,-1,15,2024-07-08,cash
6791,-1,18,2024-04-20,upi
6792,-1,31,2024-03-25,upi
6793,241,17,2024-06-26,card
6797,574,29,2024-11-05,card
6798,-1,15,2024-08-05,card
6799,110,12,2024-01-17,cash
6802,-1,31,2024-11-17,upi
6804,512,32,2024-11-19,card
6805,-1,38,2024-11-27,cash
6806,-1,19,2024-10-22,upi
6808,-1,28,2024-01-03,cash
6811,1741,11,2024-07-22,cash
6813,1446,25,2024-04-05,card
6814,228,21,2024-10-14,upi
6816,-1,33,2024-09-23,cash
6827,-1,14,2024-02-19,upi
6828,1853,36,2024-10-06,unknown
6829,191,19,2024-07-29,upi
6834,1600,17,2024-09-25,upi
